AuthorYear;TitleStudy;Location;Continent;Latitude_N;Longitude_E;Altitude_m;StudyYear;SampleId;LandCover;LandType;Vegetation;Climat;AnnualPrecip_Volume_mm;MethodLitterfall;MethodThroughfall;AnnualThroughfall_Volume_mm;Tissues;LitterfallHg_MeanConcentration_ngg;LitterfallHg_AnnualMeanFlux_ugm2yr;LitterfallMeHg_MeanConcentration_ngg;LitterfallMeHg_AnnualMeanFlux_ugm2yr;LitterfallBiomass_gm2yr;WVMC_TF_Hg_ngL;TF_AnnualMeanConcentration_Hg_ngL;TF_AnnualMeanConcentration_MeHg_ngL;TF_AnnualMeanFlux_THg_ugm2yr;TF_AnnualMeanFlux_MeHg_ugm2yr;OpenPrecipitation_AnnualMeanConcentration_Hg_ngL;OpenPrecipitation_AnnualMeanFlux_Hg_ugm2yr;OpenPrecipitation_AnnualMeanConcentration_MeHg_ngL;OpenPrecipitation_AnnualMeanFlux_MeHg_ugm2yr;Flag;Flag_precip;DOI
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;Herb;Grassland;Grass;Herb;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;NA;Total;26.342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;Salix;Broadleaved forest;DBF;Salix Magnifica Hems.;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;NA;Total;29.81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;Populus;Broadleaved forest;DBF;Populus Purdomii Rehd;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;NA;Total;29.874;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;2005;Bare;-;Bare;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;NA;-;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.7;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;1990_Leaves;Deciduous broadleaved forest;DBF;Deciduous;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;1515;Leaves;38;14;NA;NA;369;NA;6.9;NA;10.6;NA;NA;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;1980_Leaves;Deciduous broadleaved forest;DBF;Deciduous;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;1383;Leaves;36;7.7;NA;NA;212;NA;12.4;NA;17.13;NA;NA;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;1970_leaves;Deciduous broadleaved forest;DBF;Deciduous;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;1383;Leaves;41;12.3;NA;NA;308;NA;11.2;NA;15.5;NA;NA;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;1965_Leaves;Deciduous broadleaved forest;DBF;Deciduous;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;1433;Leaves;37;8.2;NA;NA;225;NA;11.1;NA;15.8;NA;NA;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;1958_Needles;Coniferous forest;ENF;Coniferous Forest;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;1318;Needles;33;13.8;NA;NA;443;NA;8.7;NA;11.7;NA;NA;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
Wang2020;Underestimated Sink of Atmospheric Mercury in a Deglaciated Forest Chronosequence;Mt. Gongga Area Hailuogou National Forest Park- Sichuan- China;Asia;29.62;102.08;3000;2017-2019;1930_Needles;Coniferous forest;ENF;Coniferous Forest;Dwb;1647;Monthly litterfall samples were collected by 1m×1m nylon nets hanging at 0.3 m above ground at five random locations at each site during September;5 L of water (about 10-35 ng Hg) were collected by a precipitation collector and filtered through cellulose membranes with 0.45-μm pore size. Sept 2017 - Sept 2019;1285;Needles;78;30.9;NA;NA;398;NA;10.9;NA;14;NA;NA;9.4;NA;NA;NA;;10.1021/acs.est.0c01667
