Authors;TitleStudy;Journal;PublicationYear;DOI;KEEP;ExclusionDetails;previous publication to chexk;
"Zhao QP; Wang ZW; Zhang HX; Xu ZH; Zhang XS";Accumulation and spatial distribution of mercury in soil and litterfall in urban areas of Beijing China;JOURNAL OF HAZARDOUS MATERIALS ADVANCES;2025;10.1016/j.hazadv.2025.100821;1;;;
"Olson CI; Jane SF; Geyman BM; Montesdeoca MR; Mchale PJ; Beier CM; Mills JS; McIntyre PB; Sunderland EM; Driscoll CT";Soil Mercury Accumulation Delays Fish Recovery from Atmospheric Deposition Declines;ENVIRONMENTAL SCIENCE & TECHNOLOGY;2025;10.1021/acs.est.5c00834;0;check but reject because litterfall presented came from previous publications and NADP merury litterfall network;;
"Weiss-Penzias P; Straw B; Rothman M; Zheng B; Seelos M; Meraz ER; O'Day PA";Atmospheric mercury uptake to foliage using in situ and transplanted lichens at the New Almaden Mining District California United States;FRONTIERS IN ENVIRONMENTAL CHEMISTRY;2025;10.3389/fenvc.2025.1568188;0;lichen concentration not litterfall measurements;1;
"Navr‡til T; Rohovec J; Shanley JB; Matouskov‡ S; Roll M; Nov‡kov‡ T; Kr‡m P; Tesar M; Myska O; Oulehle F";Mercury cycling in the Czech GEOMON network catchments recovering from acid deposition and facing climate change;BIOGEOCHEMISTRY;2025;10.1007/s10533-025-01231-w;1;;;
"Gustin MS; Gay DA; Choma N";Assessment of recent mercury trends associated with the National Atmospheric Deposition Program Mercury Litterfall Network;ATMOSPHERIC ENVIRONMENT;2025;10.1016/j.atmosenv.2025.121097;1;;;
"Acharyya S; Majumder S; Nandi S; Ghosh A; Saha S; Bhattacharya M";Uncovering mercury accumulation and the potential for bacterial bioremediation in response to contamination in the Singalila National Park;SCIENTIFIC REPORTS;2025;10.1038/s41598-024-81927-5;0;no information about litterfall sampling method;;
"Luo K; Yuan W; Lu ZY; Xiong ZC; Huang JH; Wang X; Feng XB";Riverine songbirds capture high levels of atmospheric mercury pollution from brown food webs in forests by mercury isotopic evidence;JOURNAL OF HAZARDOUS MATERIALS;2025;10.1016/j.jhazmat.2025.137347;0;refers to litterfall concentration from past paper but focuses on birds diet and collect litter on floor;;
"Li YZ; Tan LC; Jin SM; Xu H; Chen LF; Kemp DB; Sinha A; Ma L; Huang CJ; Edwards LR; Cheng H";Mercury deposition in central China from the Last Glacial Maximum to the early Holocene recorded in an accurately-dated stalagmite;SCIENCE BULLETIN;2025;10.1016/j.scib.2024.07.045;0;no litterfall data - study at the millenial time scale;;
"Han SY; Niu X; Wang B; Wang ZW; Zhang XS; Wang Q; Du JJ; Liu PP; Liu DH; Pan FS; Xu TY";Spatial-Temporal Patterns of Litterfall Mercury Concentration and Flux in Typical Vegetation in China;ECOSYSTEM HEALTH AND SUSTAINABILITY;2025;10.34133/ehs.0288;1;;;
"Deng H; Li X; Wang YJ; Wen Q; Wong MH";Mercury accumulation and transformation in the surface sediments of urban waterscapes in the megacity of Shanghai China;JOURNAL OF SOILS AND SEDIMENTS;2025;10.1007/s11368-024-03948-x;0;experiments with litter addition;;
